UniProt	adj.p	disease	sources	SYMBOL	ENTREZID	DGN_hits	DMaps_hits	KEGG_hits	KEGG_pathways	Reactome_hits	Reactome_pathways
P14618	0.00170003286778474	ALZ	ADNI,EMIF	PKM	5315	0	3	2	Glycolysis / Gluconeogenesis,Pyruvate metabolism	3	Neutrophil degranulation,Glucose metabolism,Glycolysis
P17677	0.00179552536096691	ALZ	EMIF,KTH	GAP43	2596	1	1	0		0	
Q9NWQ8	0.00186453025926238	ALZ	VUMC Olink	PAG1	55824	0	0	0		0	
P13726	0.0021588859756161	ALZ	ADNI,VUMC Olink	F3	2152	0	0	2	Complement and coagulation cascades,AGE-RAGE signaling pathway in diabetic complications	0	
P00749	0.00216519072367792	ALZ	VUMC Olink	PLAU	5328	7	0	2	Complement and coagulation cascades,NF-kappa B signaling pathway	2	Dissolution of Fibrin Clot,Neutrophil degranulation
P25445	0.00251747766015778	ALZ	VUMC Olink	FAS	355	1	11	8	Cytokine-cytokine receptor interaction,TNF signaling pathway,Lipid and atherosclerosis,MAPK signaling pathway,Necroptosis,Pathways of neurodegeneration,Natural killer cell mediated cytotoxicity,Hepatitis C	0	
P05362	0.00298784398544613	ALZ	VUMC Olink	ICAM1	3383	3	12	9	Rheumatoid arthritis,Fluid shear stress and atherosclerosis,NF-kappa B signaling pathway,TNF signaling pathway,Lipid and atherosclerosis,Cell adhesion molecules,Leukocyte transendothelial migration,AGE-RAGE signaling pathway in diabetic complications,Natural killer cell mediated cytotoxicity	6	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Signaling by Interleukins,Integrin cell surface interactions,Interleukin-4 and Interleukin-13 signaling,Interleukin-10 signaling,Extracellular matrix organization
Q9UKJ0	0.00314503390849548	ALZ	VUMC Olink	PILRB	29990	0	0	0		1	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
Q76M96	0.00343163913045115	ALZ	VUMC Olink	CCDC80	151887	0	0	0		0	
P08833	0.00411214462193306	ALZ	VUMC Olink	IGFBP1	3484	0	0	0		2	FOXO-mediated transcription,FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
O43508	0.0049648075910676	ALZ	VUMC Olink	TNFSF12	8742	0	0	1	Cytokine-cytokine receptor interaction	2	TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,TNFR2 non-canonical NF-kB pathway
O95998	0.00715993015071852	ALZ	ADNI,EMIF,VUMC Olink	IL18BP	10068	0	0	0		1	Signaling by Interleukins
P10646	0.00715993015071852	ALZ	VUMC Olink	TFPI	7035	0	0	1	Complement and coagulation cascades	0	
P42702	0.00715993015071852	ALZ	VUMC Olink	LIFR	3977	0	0	1	Cytokine-cytokine receptor interaction	1	Signaling by Interleukins
O43405	0.00848860625471177	ALZ	ADNI,EMIF,VUMC Olink	COCH	1690	3	0	0		0	
P15086	0.00953532027146843	ALZ	VUMC Olink	CPB1	1360	0	0	0		0	
P16112	0.00953532027146843	ALZ	VUMC Olink	NA	NA	NA	0	NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P01584	0.00972656870871017	ALZ	KTH	IL1B	3553	25	73	15	Cytokine-cytokine receptor interaction,Osteoclast differentiation,Rheumatoid arthritis,Fluid shear stress and atherosclerosis,NF-kappa B signaling pathway,TNF signaling pathway,Lipid and atherosclerosis,MAPK signaling pathway,Hematopoietic cell lineage,Necroptosis,Leishmaniasis,AGE-RAGE signaling pathway in diabetic complications,Legionellosis,Pathways of neurodegeneration,Pertussis	3	Signaling by Interleukins,Interleukin-4 and Interleukin-13 signaling,Interleukin-10 signaling
O95630	0.00972656870871017	ALZ	VUMC Olink	STAMBP	10617	3	0	0		0	
Q6GTX8	0.00972656870871017	ALZ	VUMC Olink	LAIR1	3903	0	0	0		2	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Neutrophil degranulation
Q6EMK4	0.00985160938247899	ALZ	ADNI,EMIF,KTH	VASN	114990	0	0	0		0	
Q9UKJ1	0.0103487088994747	ALZ	VUMC Olink	PILRA	29992	0	0	0		1	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
P16284	0.0106749426153258	ALZ	VUMC Olink	PECAM1	5175	0	0	3	Fluid shear stress and atherosclerosis,Cell adhesion molecules,Leukocyte transendothelial migration	6	Cell surface interactions at the vascular wall,Neutrophil degranulation,Integrin cell surface interactions,Platelet degranulation ,Response to elevated platelet cytosolic Ca2+,Extracellular matrix organization
A6H8Y1	0.0122803794084255	ALZ	KTH	BDP1	55814	0	0	0		0	
Q06418	0.0129087914700835	ALZ	VUMC Olink	TYRO3	7301	0	0	0		0	
P11717	0.0134496798436842	ALZ	VUMC Olink	IGF2R	3482	2	6	0		1	Neutrophil degranulation
P04271	0.0136218210371245	ALZ	ADNI,KTH	S100B	6285	4	5	0		1	Signaling by Interleukins
Q86VB7	0.014814823504973	ALZ	EMIF,VUMC Olink	CD163	9332	0	0	0		0	
Q9Y624	0.0149208737637064	ALZ	VUMC Olink	F11R	50848	0	0	2	Cell adhesion molecules,Leukocyte transendothelial migration	3	Cell surface interactions at the vascular wall,Integrin cell surface interactions,Extracellular matrix organization
Q92692	0.0154655804945073	ALZ	VUMC Olink	NECTIN2	5819	3	0	1	Cell adhesion molecules	1	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
P17174	0.017153518820803	ALZ	ADNI,EMIF	GOT1	2805	0	2	1	Cysteine and methionine metabolism	2	Gluconeogenesis,Glucose metabolism
Q92765	0.0177614451272051	ALZ	EMIF,VUMC Olink	FRZB	2487	0	0	0		0	
P80723	0.0202152486546694	ALZ	ADNI,EMIF	BASP1	10409	0	0	0		0	
Q8N423	0.0202152486546694	ALZ	VUMC Olink	LILRB2	10288	0	0	1	Osteoclast differentiation	0	
Q8TDQ0	0.0202152486546694	ALZ	VUMC Olink	HAVCR2	84868	0	0	0		1	Signaling by Interleukins
O00592	0.0237016079039779	ALZ	VUMC Olink	PODXL	5420	0	0	0		0	
P41159	0.0239854300152733	ALZ	ADNI,KTH,VUMC Olink	LEP	3952	5	0	2	Cytokine-cytokine receptor interaction,Adipocytokine signaling pathway	0	
Q8WX77	0.0257877240794244	ALZ	VUMC Olink	IGFBPL1	347252	0	0	0		0	
Q9H3S3	0.0261000450166838	ALZ	VUMC Olink	TMPRSS5	80975	0	0	0		0	
P78423	0.0337202014863663	ALZ	VUMC Olink	CX3CL1	6376	0	4	3	Cytokine-cytokine receptor interaction,TNF signaling pathway,Chemokine signaling pathway	1	Chemokine receptors bind chemokines
P16083	0.0337899288670676	ALZ	VUMC Olink	NQO2	4835	0	0	0		0	
Q5KU26	0.0337975840337404	ALZ	EMIF,VUMC Olink	COLEC12	81035	0	0	1	Phagosome	1	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
P50452	0.0349967038811865	ALZ	VUMC Olink	SERPINB8	5271	0	0	0		1	Dissolution of Fibrin Clot
P15529	0.0354532085198283	ALZ	VUMC Olink	CD46	4179	0	0	1	Complement and coagulation cascades	0	
O43927	0.0356738455821632	ALZ	VUMC Olink	CXCL13	10563	0	0	2	Cytokine-cytokine receptor interaction,Chemokine signaling pathway	1	Chemokine receptors bind chemokines
P13500	0.0363875248804074	ALZ	VUMC Olink	CCL2	6347	12	10	7	Cytokine-cytokine receptor interaction,Rheumatoid arthritis,Fluid shear stress and atherosclerosis,TNF signaling pathway,Lipid and atherosclerosis,AGE-RAGE signaling pathway in diabetic complications,Chemokine signaling pathway	4	Signaling by Interleukins,Interleukin-4 and Interleukin-13 signaling,Interleukin-10 signaling,Chemokine receptors bind chemokines
P06858	0.037731857221911	ALZ	VUMC Olink	LPL	4023	0	10	1	PPAR signaling pathway	0	
P15260	0.0380439668522963	ALZ	VUMC Olink	IFNGR1	3459	0	1	6	Cytokine-cytokine receptor interaction,Osteoclast differentiation,HIF-1 signaling pathway,Necroptosis,Leishmaniasis,Natural killer cell mediated cytotoxicity	0	
Q7Z6M3	0.0396963126477676	ALZ	VUMC Olink	MILR1	284021	0	0	0		0	
P36941	0.0402022618871967	ALZ	VUMC Olink	LTBR	4055	0	0	4	Cytokine-cytokine receptor interaction,HIF-1 signaling pathway,NF-kappa B signaling pathway,Intestinal immune network for IgA production	2	TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,TNFR2 non-canonical NF-kB pathway
P15509	0.0407981506278523	ALZ	VUMC Olink	CSF2RA	1438	0	0	2	Cytokine-cytokine receptor interaction,Hematopoietic cell lineage	1	Signaling by Interleukins
P28907	0.0408720686161851	ALZ	VUMC Olink	CD38	952	0	0	2	Hematopoietic cell lineage,Nicotinate and nicotinamide metabolism	0	
P04792	0.0459170666480645	ALZ	VUMC Olink	HSPB1	3315	4	2	1	MAPK signaling pathway	0	
Q9Y653	0.0495802504712258	ALZ	VUMC Olink	ADGRG1	9289	2	0	0		0	
P21757	0.0524246505486754	ALZ	VUMC Olink	MSR1	4481	0	1	1	Phagosome	0	
Q9Y275	0.0528435256669474	ALZ	VUMC Olink	TNFSF13B	10673	0	0	4	Cytokine-cytokine receptor interaction,Rheumatoid arthritis,NF-kappa B signaling pathway,Intestinal immune network for IgA production	3	TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,TNFR2 non-canonical NF-kB pathway,TNFs bind their physiological receptors
Q9UQM7	0.0552484735877061	ALZ	EMIF	CAMK2A	815	2	9	7	HIF-1 signaling pathway,Lipid and atherosclerosis,Necroptosis,Pathways of neurodegeneration,Neurotrophin signaling pathway,Oocyte meiosis,ErbB signaling pathway	1	Long-term potentiation
P31150	0.0552484735877061	ALZ	EMIF	GDI1	2664	2	3	0		0	
P07196	0.0552484735877061	ALZ	ADNI	NEFL	4747	2	1	1	Pathways of neurodegeneration	1	Long-term potentiation
P06733	0.0552484735877061	ALZ	EMIF	ENO1	2023	1	5	2	HIF-1 signaling pathway,Glycolysis / Gluconeogenesis	3	Gluconeogenesis,Glucose metabolism,Glycolysis
P62258	0.0552484735877061	ALZ	EMIF	YWHAE	7531	1	1	4	Neurotrophin signaling pathway,Oocyte meiosis,PI3K-Akt signaling pathway,Hepatitis C	0	
O00300	0.0552484735877061	ALZ	VUMC Olink	TNFRSF11B	4982	1	0	2	Cytokine-cytokine receptor interaction,Osteoclast differentiation	2	TNFR2 non-canonical NF-kB pathway,TNFs bind their physiological receptors
P10599	0.0552484735877061	ALZ	EMIF	TXN	7295	0	17	1	Fluid shear stress and atherosclerosis	1	FOXO-mediated transcription
P00558	0.0552484735877061	ALZ	EMIF	PGK1	5230	0	7	2	HIF-1 signaling pathway,Glycolysis / Gluconeogenesis	3	Gluconeogenesis,Glucose metabolism,Glycolysis
P63104	0.0552484735877061	ALZ	EMIF	YWHAZ	7534	0	3	3	Oocyte meiosis,PI3K-Akt signaling pathway,Hepatitis C	2	Signaling by Interleukins,FOXO-mediated transcription
Q96F46	0.0552484735877061	ALZ	VUMC Olink	IL17RA	23765	0	2	1	Cytokine-cytokine receptor interaction	1	Signaling by Interleukins
O00253	0.0552484735877061	ALZ	ADNI,VUMC Olink	AGRP	181	0	0	1	Adipocytokine signaling pathway	2	FOXO-mediated transcription,FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
P05413	0.0552484735877061	ALZ	ADNI	FABP3	2170	0	0	1	PPAR signaling pathway	0	
P08620	0.0552484735877061	ALZ	ADNI	FGF4	2249	0	0	4	MAPK signaling pathway,Rap1 signaling pathway,Regulation of actin cytoskeleton,PI3K-Akt signaling pathway	0	
P16070	0.0552484735877061	ALZ	EMIF	CD44	960	0	0	2	Hematopoietic cell lineage,ECM-receptor interaction	4	Cell surface interactions at the vascular wall,Neutrophil degranulation,Integrin cell surface interactions,Extracellular matrix organization
P62328	0.0552484735877061	ALZ	EMIF	TMSB4X	7114	0	0	1	Regulation of actin cytoskeleton	2	Platelet degranulation ,Response to elevated platelet cytosolic Ca2+
P62937	0.0552484735877061	ALZ	EMIF	PPIA	5478	0	0	1	Necroptosis	5	Signaling by Interleukins,Cell surface interactions at the vascular wall,Neutrophil degranulation,Platelet degranulation ,Response to elevated platelet cytosolic Ca2+
P80108	0.0552484735877061	ALZ	EMIF	GPLD1	2822	0	0	0		0	
Q03167	0.0552484735877061	ALZ	EMIF,VUMC Olink	TGFBR3	7049	0	0	0		0	
Q6YHK3	0.0552484735877061	ALZ	EMIF,VUMC Olink	CD109	135228	0	0	0		2	Platelet degranulation ,Response to elevated platelet cytosolic Ca2+
Q92686	0.0552484735877061	ALZ	ADNI	NRGN	4900	0	0	0		1	Long-term potentiation
Q9Y279	0.0552484735877061	ALZ	EMIF	VSIG4	11326	0	0	1	Complement and coagulation cascades	0	
Q9Y2T3	0.0552484735877061	ALZ	EMIF	GDA	9615	0	0	0		0	
Q9H6B4	0.0575580215566569	ALZ	VUMC Olink	CLMP	79827	0	0	0		0	
Q08708	0.058681563804768	ALZ	VUMC Olink	CD300C	10871	0	0	0		1	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
P47972	0.0621799441356303	ALZ	ADNI,EMIF	NPTX2	4885	0	0	0		0	
Q8NBS9	0.0621799441356303	ALZ	VUMC Olink	TXNDC5	81567	0	0	0		1	Neutrophil degranulation
P23582	0.0629075907875312	ALZ	EMIF,VUMC Olink	NPPC	4880	0	0	1	Fluid shear stress and atherosclerosis	0	
P51693	0.069839863487772	ALZ	EMIF,KTH,VUMC Olink	APLP1	333	0	0	0		0	
O43464	0.0702732919988317	ALZ	VUMC Olink	HTRA2	27429	2	27	1	Pathways of neurodegeneration	0	
O75096	0.07544419817295	ALZ	KTH	LRP4	4038	2	0	0		1	Extracellular matrix organization
P78310	0.0830821269808511	ALZ	VUMC Olink	CXADR	1525	0	0	0		2	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Cell surface interactions at the vascular wall
Q16651	0.0882479963565431	ALZ	VUMC Olink	PRSS8	5652	0	0	0		0	
O43597	0.0946820874693767	ALZ	VUMC Olink	SPRY2	10253	0	5	0		0	
Q02487	0.0952318108159225	ALZ	EMIF,VUMC Olink	DSC2	1824	0	0	0		0	
P05067	3.92476986678626e-08	FTD	VUMC Olink	APP	351	22	80	0		7	Post-translational protein phosphorylation,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Platelet degranulation ,Response to elevated platelet cytosolic Ca2+,Platelet activation, signaling and aggregation,Peptide ligand-binding receptors,Toll-like Receptor Cascades
Q9NQX5	6.53954283727599e-08	FTD	VUMC Olink	NPDC1	56654	0	0	0		1	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
Q9HB29	9.01762474828738e-05	FTD	VUMC Olink	IL1RL2	8808	0	0	0		0	
P09237	0.000221155061909471	FTD	VUMC Olink	MMP7	4316	0	0	0		0	
Q8WWJ7	0.000364832838748688	FTD	VUMC Olink	ACAN	176	0	0	0		2	Diseases of metabolism,Diseases of glycosylation
P10144	0.000394667879073749	FTD	VUMC Olink	GZMB	3002	0	1	0		0	
Q9BZR6	0.000419468786730046	FTD	VUMC Olink	RTN4R	65078	0	1	0		0	
Q9Y240	0.00053168298310659	FTD	VUMC Olink	CLEC11A	6320	0	0	0		0	
P01024	0.000602036322307349	FTD	VUMC MSpec	C3	718	3	13	3	Complement and coagulation cascades,Pertussis,Neutrophil extracellular trap formation	7	Regulation of Complement cascade,Post-translational protein phosphorylation,Complement cascade,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Initial triggering of complement,Peptide ligand-binding receptors
